onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	2.37	6	1	1
6.001	2.5	0	3	2.77	6	1	2
21	2.5	0	3	2.67	8	2	1
26.054	2.5	0	3	2.72	8	2	2
31.118	2.5	0	3	2.46	1	1	1
36.165	2.5	1	0	2.6	1	1	2
41.095	2.5	0	3	2.63	12	2	1
46.204	2.5	0	3	2.67	12	2	2
51.229	2.5	0	3	2.69	2	1	1
56.262	2.5	0	3	2.74	2	1	2
61.343	2.5	0	3	2.72	11	2	1
66.434	2.5	0	3	2.46	11	2	2
81.001	2.5	0	3	2.58	6	1	1
86	2.5	0	3	2.54	6	1	2
91.069	2.5	0	3	2.44	12	2	1
96.047	2.5	1	0	2.94	12	2	2
101.242	2.5	0	3	2.49	2	1	1
106.335	2.5	0	3	2.59	2	1	2
111.28	2.5	0	3	2.75	8	2	1
116.371	2.5	1	0	2.84	8	2	2
121.525	2.5	0	3	2.17	5	1	1
126.27	2.5	0	3	2.4	5	1	2
131	2.5	0	3	2.51	5	1	1
136.002	2.5	0	3	2.58	5	1	2
141.002	2.5	0	3	2.77	3	1	1
146.068	2.5	0	3	3.04	3	1	2
151.385	2.5	0	3	2.61	7	2	1
156.705	2.5	0	3	2.77	7	2	2
161.647	2.5	0	3	2.39	11	2	1
166.648	2.5	0	3	2.62	11	2	2
171.443	2.5	0	3	2.42	2	1	1
176.347	2.5	0	3	2.58	2	1	2
181.263	2.5	0	3	2.43	3	1	1
186.216	2.5	0	3	2.59	3	1	2
191.226	2.5	0	3	2.62	5	1	1
196.28	2.5	0	3	2.56	5	1	2
211.001	2.5	0	3	2.7	10	2	1
216	2.5	0	3	2.68	10	2	2
221.003	2.5	0	3	2.83	1	1	1
226.055	2.5	0	3	2.71	1	1	2
231.07	2.5	0	3	2.63	10	2	1
236.185	2.5	0	3	2.69	10	2	2
241.242	2.5	0	3	2.52	6	1	1
246.271	2.5	0	3	2.5	6	1	2
251.157	2.5	0	3	2.43	4	1	1
256.076	2.5	0	3	2.51	4	1	2
261.002	2.5	0	3	2.62	9	2	1
266.174	2.5	1	0	2.97	9	2	2
281	2.5	0	3	2.32	9	2	1
286	2.5	0	3	2.44	9	2	2
291	2.5	0	3	2.56	7	2	1
296	2.5	0	3	2.54	7	2	2
301.001	2.5	0	3	2.19	4	1	1
306.003	2.5	0	3	2.6	4	1	2
311.073	2.5	0	3	2.54	7	2	1
316.182	2.5	0	3	2.66	7	2	2
321.206	2.5	0	3	2.33	1	1	1
326.052	2.5	0	3	2.26	1	1	2
331	2.5	0	3	2.63	3	1	1
336	2.5	0	3	2.98	3	1	2
341.15	2.5	0	3	2.5	11	2	1
346.216	2.5	0	3	2.7	11	2	2
351.264	2.5	0	3	2.79	12	2	1
356.53	2.5	0	3	2.52	12	2	2
371.002	2.5	0	3	2.51	10	2	1
376	2.5	0	3	2.43	10	2	2
381	2.5	0	3	2.33	4	1	1
386.003	2.5	0	3	2.55	4	1	2
391.001	2.5	0	3	2.45	9	2	1
396	2.5	0	3	2.51	9	2	2
401	2.5	0	3	2.55	8	2	1
406.018	2.5	0	3	2.75	8	2	2
