onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	1.37	12	2	1
6.001	2.5	0	3	1.48	12	2	2
11.002	2.5	0	3	0.81	3	1	1
16	2.5	0	3	0.87	3	1	2
21	2.5	0	3	0.94	6	1	1
26	2.5	0	3	0.95	6	1	2
31.001	2.5	0	3	1.25	11	2	1
36	2.5	0	3	1.32	11	2	2
41	2.5	0	3	1.35	7	2	1
46	2.5	0	3	1.32	7	2	2
51	2.5	0	3	0.92	1	1	1
56	2.5	1	0	0.95	1	1	2
61	2.5	0	3	1.41	8	2	1
66	2.5	1	0	1.17	8	2	2
81	2.5	0	3	1.4	10	2	1
86	2.5	0	3	1.69	10	2	2
91.001	2.5	0	3	1	5	1	1
96	2.5	0	3	0.97	5	1	2
101.001	2.5	0	3	1.32	11	2	1
106.001	2.5	0	3	1.24	11	2	2
111.001	2.5	0	3	1.31	3	1	1
116.001	2.5	0	3	0.79	3	1	2
131.001	2.5	0	3	1.44	10	2	1
136	2.5	0	3	1.24	10	2	2
141	2.5	0	3	1.32	10	2	1
146.001	2.5	0	3	1.76	10	2	2
151	2.5	0	3	0.95	6	1	1
156	2.5	0	3	1.02	6	1	2
171	2.5	1	0	1.36	4	1	1
176	2.5	0	3	1.48	4	1	2
181	2.5	0	3	0.88	4	1	1
186.001	2.5	1	0	1.46	4	1	2
191.001	2.5	0	3	1.41	7	2	1
196	2.5	0	3	1.57	7	2	2
201	2.5	0	3	1.21	11	2	1
206	2.5	1	0	1.55	11	2	2
211.002	2.5	0	3	1.51	12	2	1
216	2.5	0	3	1.48	12	2	2
221	2.5	0	3	0.98	2	1	1
226.001	2.5	0	3	0.9	2	1	2
231.001	2.5	0	3	1.4	7	2	1
236	2.5	0	3	1.38	7	2	2
241	2.5	0	3	1.43	9	2	1
246.001	2.5	0	3	1.31	9	2	2
251	2.5	0	3	1.91	1	1	1
256	2.5	0	3	0.99	1	1	2
261	2.5	0	3	0.82	4	1	1
266	2.5	1	0	0.73	4	1	2
271	2.5	0	3	1.38	12	2	1
276	2.5	0	3	1.42	12	2	2
281	2.5	0	3	0.83	2	1	1
286.001	2.5	0	3	0.83	2	1	2
291	2.5	0	3	1.17	8	2	1
296	2.5	1	0	1.17	8	2	2
301	2.5	0	3	1.48	9	2	1
306.001	2.5	1	0	1.38	9	2	2
321	2.5	0	3	1.08	5	1	1
326	2.5	0	3	0.9	5	1	2
341	2.5	1	0	1.5	1	1	1
346	2.5	0	3	1.11	1	1	2
351.001	2.5	0	3	0.91	2	1	1
356	2.5	0	3	0.83	2	1	2
361	2.5	0	3	0.79	3	1	1
366.001	2.5	0	3	1.37	3	1	2
371	2.5	0	3	1.25	9	2	1
376	2.5	0	3	1.43	9	2	2
381	2.5	0	3	1.05	5	1	1
386	2.5	0	3	1.03	5	1	2
391.001	2.5	0	3	1.32	6	1	1
396	2.5	0	3	1.22	6	1	2
401.001	2.5	0	3	1.17	8	2	1
406.002	2.5	0	3	1.21	8	2	2
